Rank,Company,Growth,Industry,Revenue ($M),State,City,Metro,Times on List
474,FitSmallBusiness.com,947%,Advertising & Marketing,7.12,New York,New York,New York,2
475,Powerful Professionals,935%,Business Products & Services,2.01,Georgia,Alpharetta,Atlanta,1
476,Probo Medical,927%,Business Products & Services,30.12,Indiana,Fishers,Indianapolis,1
477,SPOTIO,924%,Software,3.05,Texas,Dallas,Dallas,1
478,Prime Meridian Capital Management,922%,Financial Services,7.72,California,Walnut Creek,San Francisco,2
479,Fox Dealer,916%,Advertising & Marketing,22.07,California,Pasadena,Los Angeles,2
480,Kubikware,916%,Software,2.47,Florida,Aventura,Miami,1
481,Rocket Referrals,914%,Software,2.27,Indiana,Des Moines,Des Moines,1
482,Bonusly,912%,Software,2.48,Colorado,Boulder,Boulder,1
483,Trident Transport,911%,Logistics & Transportation,31.32,Tennessee,Chattanooga,Chattanooga,2
484,The Fila Group,905%,Government Services,3.52,Virginia,Arlington,"Washington,DC",2
485,Seaman's Beverage and Logistics,904%,Food & Beverage,7.17,New Jersey,Belleville,New York,2
487,BlueWave Solar,902%,Energy,78.58,Massachusetts,Boston,Boston,3
488,Resource Financial,901%,Financial Services,11.37,South Carolina,Columbia,Columbia,2
489,Saprex,900%,Manufacturing,5.44,North Carolina,Gastonia,Charlotte,2
490,Simple Energy,897%,Energy,45.39,Colorado,Boulder,Boulder,2
491,New Energy Equity,895%,Energy,52.35,Maryland,Annapolis,Baltimore,1
492,Vedder Holsters,895%,Consumer Products & Services,5.41,Florida,Mount Dora,Orlando,2
493,FloWater,894%,Food & Beverage,5.33,Colorado,Denver,Denver,1
494,Vaughan Buckley Construction,891%,Construction,18.40,Pennsylvania,Philadelphia,Philadelphia,3
495,Acacia Counseling & Wellness,890%,Health,2.18,California,Goleta,"Santa Maria-Santa Barbara,CA",1
496,Every Door Real Estate,887%,Real Estate,2.86,Washington,Seattle,Seattle,1
497,Thought Logic Consulting,871%,Business Products & Services,21.30,Georgia,Atlanta,Atlanta,3
498,PBG Consulting,871%,IT Management,5.12,Virginia,Mclean,"Washington,DC",1
499,Sarvicus,870%,Telecommunications,4.94,Texas,Houston,Houston,1
500,Universal Processing,870%,Financial Services,7.99,New York,New York,New York,1
501,The Apella Group,869%,Telecommunications,12.27,Pennsylvania,Plymouth Meeting,Philadelphia,1
502,Lemonaid Health,868%,Health,4.66,California,San Francisco,San Francisco,1
503,Coulee Techlink,866%,Software,3.50,Wisconsin,HOLMEN,"La Crosse-WI,MN",1
504,Transform Group,865%,Advertising & Marketing,8.49,Puerto Rico,San Juan,"San Juan,Bayam",1
505,Bare Home,864%,Retail,18.06,Minnesota,Blaine,Minneapolis,3
505,Beauty Bakerie Cosmetics Brand,864%,Consumer Products & Services,4.53,California,San Diego,San Diego,1
506,Hardcore Fitness Boot Camp,863%,Health,9.04,California,Santa Clarita,Los Angeles,3
507,cellhelmet,861%,Manufacturing,10.71,Pennsylvania,Sewickley,Pittsburgh,3
508,Conga,858%,IT System Development,84.25,Colorado,Broomfield,Denver,2
509,Blast Tech,857%,Manufacturing,10.30,Louisiana,Brossard,"Lafayette,LA",1
510,LoanPaymentPro,855%,Business Products & Services,2.06,Illinois,Bloomingdale,Chicago,1
511,Admera Health,855%,Health,16.15,New Jersey,South Plainfield,New York,1
512,Professional Realty Services International,854%,Real Estate,27.20,Washington,Spokane,"Spokane,WA",4
513,SOCIAL Sparkling Wine,853%,Consumer Products & Services,2.17,Illinois,Chicago,Chicago,1
514,TicketSauce.com,852%,Software,2.37,California,San Diego,San Diego,1
515,ProSource360 Consulting Services,850%,Government Services,8.70,Washington DC,Washington,"Washington,DC",1
516,Spinnaker Consulting Group,850%,Business Products & Services,6.15,Virginia,Richmond,Richmond,1
517,Maxx Builders and Designers,848%,Construction,16.30,Texas,Stafford,Houston,3
518,Vape Guys,845%,Consumer Products & Services,3.79,Virginia,Colonial Heights,Richmond,1
519,Y-Tech,844%,Government Services,12.60,Maryland,Annapolis Junction,Baltimore,2
520,SILVER TRUCKING,843%,Logistics & Transportation,9.71,Missouri,St. Louis,St. Louis,1
521,Linux Academy,842%,Education,21.32,Texas,Keller,Dallas,3
522,Spartan Armor Systems,837%,Manufacturing,6.65,Arizona,Tucson,"Tucson,AZ",2
523,Mainsail Group,836%,Government Services,2.46,Massachusetts,Bedford,Boston,1
524,Baybridge Pharmacy Corp,834%,Health,17.50,New York,Bayside,New York,1
525,Quantico Tactical,831%,Government Services,492.54,North Carolina,Aberdeen,"Southern Pines-Pinehurst,NC",2
526,Knewsales Group,830%,Advertising & Marketing,5.98,New York,New York,New York,1
528,Two Bulls,828%,Software,9.46,New York,Brooklyn,New York,2
529,Nickel & Suede,828%,Consumer Products & Services,4.78,Missouri,Liberty,Kansas City,2
530,Teknismart Solutions,826%,IT System Development,3.01,Texas,Plano,Dallas,1
531,Sprout School Supplies,824%,Retail,2.21,Virginia,Colonial Beach,-,1
532,Kuli Kuli Foods,820%,Consumer Products & Services,4.47,California,Oakland,San Francisco,2
533,LifeHealth,818%,Health,15.29,Colorado,Littleton,Denver,3
534,Peaxy,817%,Software,2.95,California,San Jose,San Jose,2
535,Private Label Extensions,817%,Consumer Products & Services,7.91,Georgia,Atlanta,Atlanta,2
536,Retail Service Systems,816%,Business Products & Services,53.49,Ohio,Dublin,Columbus,2
537,Icon Building Supplies,816%,Logistics & Transportation,13.65,California,Poway,San Diego,1
538,Prime Technical Services,816%,Government Services,19.02,Georgia,Atlanta,Atlanta,1
539,Hyper Networks,815%,IT Management,4.72,Nevada,Henderson,Las Vegas,1
540,Out of the Box Technology,814%,Business Products & Services,2.36,Oregon,Tigard,Portland,1
541,Aldevra,813%,Government Services,8.13,Michigan,PORTAGE,"Kalamazoo-Portage,MI",2
542,Native Digital,812%,Advertising & Marketing,2.04,Missouri,Kansas City,Kansas City,1
543,Karya Property Management,811%,Real Estate,171.80,Texas,Houston,Houston,2
544,Full Circle Brands,811%,Consumer Products & Services,31.59,New York,New York,New York,6
